DateTimePhoto,Code_exp,Code_Lieu,Phone,TypeNetwork_Fixed,aim_x_dd,aim_y_dd,aim.x,aim.y,point_x_dd,point_y_dd,point.x,point.y,distance_s12,distance_lon_UMT,distance_lat_UMT
2019:12:21 14:16:38,N13S7a,MAIL,Standard,4G,47.10309167,6.786602778,332044.27181,5219098.0116,47.103333,6.786944,332070.92252,5219124.0966,37.292430093,26.65070277,26.085024322
2019:12:21 14:20:27,N13E7b,MAIL,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:21 14:24:45,N13S7b,MAIL,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:21 14:50:15,N13E8,VREV,Experimental,2G,47.10425,6.803947222,333363.96217,5219189.6146,47.160833,6.933333,343347.7163,5225209.8684,11658.83778,9983.7541263,6020.2538274
2019:12:21 14:51:11,N13S8,VREV,Standard,4G,47.10425,6.803947222,333363.96217,5219189.6146,47.104444,6.803889,333360.15012,5219211.2972,22.015692418,3.812058945,21.682601027
2019:12:21 15:16:04,N13E9,CRET,Experimental,2G,47.10624444,6.812616667,334027.97658,5219392.806,47.098611,6.830556,335365.57067,5218506.5975,1604.565715,1337.5940972,886.20846224
2019:12:21 15:16:50,N13S9,CRET,Standard,4G,47.10624444,6.812616667,334027.97658,5219392.806,47.106944,6.826389,335075.10473,5219441.3966,1048.2724476,1047.1281556,48.5906393
2019:12:21 15:52:45,N13E10,GACH,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:21 15:53:44,N13S10,GACH,Standard,4G,47.09890278,6.825008333,334945.48683,5218550.7191,47.098889,6.824722,334923.71591,5218549.7923,21.791043111,21.770927995,0.92678057961
2019:12:28 10:22:12,N14E1,HGGA,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 10:22:27,N14S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.049167,6.875,338588.93261,5212919.4477,153.71524005,19.975244782,152.40470261
2019:12:28 10:53:06,N14E2,SGAF,Experimental,2G,47.05589444,6.879594444,338958.16773,5213657.5722,47.046944,6.875556,338624.45674,5212671.2685,1041.2767645,333.71098594,986.30371405
2019:12:28 10:53:42,N14S2,SGAF,Standard,4G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:12:28 11:16:22,N14E3,FAFO,Experimental,2G,47.05625,6.883172222,339230.9553,5213689.726,47.046389,6.886389,339445.65329,5212587.3094,1123.1828473,214.69799168,1102.4165309
