DateTimePhoto;Code_exp;Code_lieu;Phone;TypeNetwork_Fixed;real_lat;real_lon;photo_lat;photo_lon;distance
2019:10:20 14:38:50;N3S8;FFBO;Standard;4G;47.01455556;6.908419444;47.016944;6.903611;451.85151709191194
2019:10:20 14:55:39;N3E9;CRFO;Experimental;4G;47.01142222;6.906258333;47.010278;6.903611;238.12709287881393
2019:10:20 14:58:26;N3S9;CRFO;Standard;4G;47.01142222;6.906258333;47.011389;6.902778;264.6696333918046
2019:10:20 15:14:53;N3E10;CRCH;Experimental;4G;47.007325;6.903783333;47.010278;6.903611;328.5494607322169
2019:10:20 15:16:41;N3S10;CRCH;Standard;4G;None;None;None;None;None
2019:10:20 15:53:23;N3E11;SPON;Experimental;4G;46.99013056;6.908894444;46.991389;6.911944;270.8981221111527
2019:10:20 16:03:39;N3S11;SPON;Standard;4G;46.99013056;6.908894444;46.99;6.908889;14.520346472943757
2019:10:20 16:17:13;N3E12;GORG;Experimental;4G;46.98966944;6.911566667;46.991389;6.911944;193.30753029545562
2019:10:20 16:27:44;N3S12;GORG;Standard;4G;46.98966944;6.911566667;46.989722;6.912222;50.19285702112479
2019:10:22 09:05:24;N4E1;GANE;Experimental;2G;None;None;None;None;None
2019:10:22 09:27:24;N4E2;EGAD;Experimental;2G;46.99444444;6.935377778;46.993611;6.937222;168.1166341269375
2019:10:22 09:59:22;N4E3;PORT;Experimental;2G;46.98968889;6.936086111;46.993333;6.936667;407.52083632329374
2019:10:22 10:03:25;N4S3;PORT;Standard;4G;46.98968889;6.936086111;46.990833;6.934167;193.6225755491813
2019:10:22 10:25:35;N4E4;MOCH;Experimental;2G;46.99176944;6.928591667;46.994167;6.927222;286.1769782957985
2019:10:22 10:28:18;N4S4;MOCH;Standard;4G;46.99176944;6.928591667;46.991667;6.928611;11.482885116770195
2019:10:22 10:39:37;N4E5;ESCH;Experimental;2G;46.99189;6.92735;46.989167;6.924444;374.8393650609988
2019:10:22 10:42:22;N4S5;ESCH;Standard;4G;46.99189;6.92735;46.991667;6.9275;27.29080915381571
2019:10:22 11:15:21;N4E6;BELV;Experimental;2G;46.99817222;6.926916667;46.999167;6.924167;236.57394362472638
2019:10:22 11:18:06;N4S6;BELV;Standard;4G;46.99817222;6.926916667;46.995833;6.927778;268.17811379379907
2019:10:25 14:06:05;N5E1;GANE;Experimental;3G;46.99615278;6.935441667;46.995278;6.931111;343.45539060305026
2019:10:25 14:10:19;N5S1;GANE;Standard;4G;46.99615278;6.935441667;46.996667;6.936111;76.54950502157386
2019:10:25 14:27:42;N5E2;EGAD;Experimental;3G;46.99444444;6.935377778;46.994167;6.938056;206.03812983836616
2019:10:25 14:31:36;N5S2;EGAD;Standard;4G;None;None;None;None;None
2019:10:25 14:50:02;N5E3;PORT;Experimental;3G;46.98968889;6.936086111;46.991944;6.933333;326.66646602265706
2019:10:25 14:50:12;N5S3;PORT;Standard;4G;46.98968889;6.936086111;46.989722;6.936111;4.139250565772253
2019:10:25 15:18:55;N5E4;MOCH;Experimental;3G;46.99176944;6.928591667;46.991389;6.927778;74.96417625665862
2019:10:25 15:19:04;N5S4;MOCH;Standard;4G;None;None;None;None;None
2019:10:25 15:33:08;N5E5;ESCH;Experimental;3G;46.99189;6.92735;46.994444;6.927222;284.0968781775756
2019:10:25 15:36:15;N5S5;ESCH;Standard;4G;46.99189;6.92735;46.991944;6.926944;31.461444770278398
2019:10:25 16:04:31;N5E6;BELV;Experimental;3G;46.99817222;6.926916667;46.998611;6.921944;381.34517062867354
2019:10:25 16:04:41;N5S6;BELV;Standard;4G;46.99817222;6.926916667;46.995833;6.928889;300.2205260364288
2019:10:30 12:41:35;N6E1;GANE;Experimental;4G;46.99615278;6.935441667;46.996389;6.934444;80.29934291119572
2019:10:30 12:43:48;N6S1;GANE;Standard;4G;46.99615278;6.935441667;46.996667;6.935;66.30620858058487
2019:10:30 13:28:16;N6E2;EGAD;Experimental;4G;46.99444444;6.935377778;46.993056;6.934722;162.2137447952589
2019:10:30 13:37:30;N6S2;EGAD;Standard;4G;46.99444444;6.935377778;46.994167;6.935556;33.69089644556332
2019:10:30 13:50:38;N6E3;PORT;Experimental;4G;46.98968889;6.936086111;46.9925;6.934722;329.28977453933453
2019:10:30 13:50:48;N6S3;PORT;Standard;4G;46.98968889;6.936086111;46.989444;6.936111;27.29033356591265
2019:10:30 14:27:17;N6E4;MOCH;Experimental;4G;46.99176944;6.928591667;46.991111;6.928056;83.77624674631873
2019:10:30 14:28:16;N6S4;MOCH;Standard;4G;46.99176944;6.928591667;46.991667;6.928611;11.482885116770195
2019:10:30 14:40:45;N6E5;ESCH;Experimental;4G;46.99189;6.92735;46.995;6.926667;349.6224477484268
2019:10:30 14:43:56;N6S5;ESCH;Standard;4G;None;None;None;None;None
2019:11:05 11:16:13;N7E1;GALO;Experimental;2G;None;None;None;None;None
2019:11:05 11:20:08;N7S1;GALO;Standard;4G;47.05758611;6.746161111;47.0575;6.746667;39.60881738758102
2019:11:05 11:45:04;N7E2;BCEC;Experimental;2G;47.0621;6.745227778;47.056111;6.746667;674.7274343887747
2019:11:05 11:49:25;N7S2;BCEC;Standard;4G;None;None;None;None;None
2019:11:05 12:12:44;N7E3;SAAB;Experimental;2G;47.07007778;6.751058333;47.056111;6.746667;1588.147169302091
2019:11:05 12:12:53;N7S3;SAAB;Standard;4G;None;None;None;None;None
2019:11:05 12:33:46;N7E4;CCHP;Experimental;2G;47.07184722;6.749775;47.056111;6.746667;1765.288362161938
2019:11:05 12:33:55;N7S4;CCHP;Standard;4G;None;None;None;None;None
2019:11:05 13:04:01;N7E5;FERM;Experimental;2G;None;None;None;None;None
